t,F,0,l/4,l/2,3l/4,l
0.0,62.623611822724094,-7.69602827982482e-06,1.8204118274884096e-06,2.1678155040753518e-06,9.815881106457554e-07,6.048236668058238e-06
0.101010101010101,78.0378490704159,-8.067011856077944e-05,2.7666484789775478e-05,1.6595402826714042e-05,-1.6305355129191239e-06,5.8062767753987976e-05
0.202020202020202,36.36253456141896,-0.00039946259327412303,0.0001691553870252923,4.831230034087669e-05,-5.733366380921045e-05,0.0002626741640199089
0.303030303030303,69.89578348750909,-0.0012715261976510156,0.0006054504082060812,2.0885519546083538e-05,-0.0003105278377253073,0.0007627976816680128
0.404040404040404,56.17179844310381,-0.0029898940938757742,0.0014913266605883402,-0.0003378088707196534,-0.0009643818708385362,0.0016516434887908933
0.5050505050505051,86.27782396803869,-0.005653145981603259,0.0027677063192355,-0.0014944602345876208,-0.0021473599822204106,0.002957815905466096
0.6060606060606061,22.949386442617644,-0.009107082181256413,0.00407056246964437,-0.003884866964491602,-0.0038104987525159665,0.004714728149437932
0.7070707070707071,81.01175062447098,-0.013005157137398998,0.004818520440238233,-0.007588127136085185,-0.005708046979845913,0.0069453851463539985
0.8080808080808081,21.284454216299103,-0.016840891446636384,0.0044368012767661245,-0.012122587568742958,-0.007385312374622955,0.009513147819534853
0.9090909090909092,11.416501272548151,-0.019867224702407524,0.002616951996485129,-0.016444609224199887,-0.008179483579578092,0.012033011529269043
1.0101010101010102,71.1635303371653,-0.021018113382995245,-0.0005077900596079229,-0.019114174679066422,-0.00734734171460853,0.013992449679372885
1.1111111111111112,34.03270403239385,-0.019030158956973676,-0.004329544654776782,-0.018618227548650862,-0.0043141221306868165,0.014958096664906686
1.2121212121212122,70.08850039351061,-0.012815482849074798,-0.00786935426959064,-0.013839754150997972,0.0011023882582808216,0.014636566350256687
1.3131313131313131,11.595829713043187,-0.0019237416752216816,-0.010003395205214077,-0.004531874608711197,0.008556601214126993,0.012751542580421072
1.414141414141414,33.066250239608095,0.013158668560053063,-0.009749898099736282,0.008436652660505004,0.01711313212532965,0.008893316776588797
1.5151515151515151,71.16877992928957,0.031036965343319907,-0.006507444207212966,0.023211799051248767,0.025312050193050235,0.0024444552315607297
1.616161616161616,52.8060039005193,0.04972145991393316,-0.00022606752127694095,0.03740290610719557,0.03142378603383408,-0.0074045567737811785
1.7171717171717171,11.762621209201871,0.06702041911200972,0.008451255794034199,0.04864805512183715,0.033849356825215296,-0.02149730318497531
1.818181818181818,32.12195942041447,0.08085504523775185,0.018151855193258383,0.05512992216401132,0.031535689928102795,-0.04037168423708583
1.9191919191919191,32.43220978945351,0.08948983746883522,0.026924511695827453,0.05594115306284623,0.024267168586374805,-0.0638239560415484
